customer_id,checking_account_status,loan_duration_mo,credit_history,purpose,loan_amount,savings_account_balance,time_employed_yrs,payment_pcnt_income,gender_status,other_signators,time_in_residence,property,age_yrs,other_credit_outstanding,home_ownership,number_loans,job_category,dependents,telephone,foreign_worker,bad_credit
2859658,0 - 200 DM,12,current loans paid,car (new),1295,< 100 DM,< 1 year,3,female-divorced/separated/married,none,1,car or other,25,none,rent,1,skilled,1,none,yes,1
7677202,< 0 DM,48,current loans paid,business,4308,< 100 DM,< 1 year,3,female-divorced/separated/married,none,4,building society savings/life insurance,24,none,rent,1,skilled,1,none,yes,1
6368245,0 - 200 DM,12,current loans paid,radio/television,1567,< 100 DM,1 - 4 years,1,female-divorced/separated/married,none,1,car or other,22,none,own,1,skilled,1,yes,yes,0
8363768,< 0 DM,24,critical account - other non-bank loans,car (new),1199,< 100 DM,>= 7 years,4,male-single,none,4,car or other,60,none,own,2,unskilled-resident,1,none,yes,1
6846974,< 0 DM,15,current loans paid,car (new),1403,< 100 DM,1 - 4 years,2,female-divorced/separated/married,none,4,car or other,28,none,rent,1,skilled,1,none,yes,0
6293067,< 0 DM,24,current loans paid,radio/television,1282,100 - 500 DM,1 - 4 years,4,female-divorced/separated/married,none,2,car or other,32,none,own,1,unskilled-resident,1,none,yes,1
2807551,none,24,critical account - other non-bank loans,radio/television,2424,unknown/none,>= 7 years,4,male-single,none,4,building society savings/life insurance,53,none,own,2,skilled,1,none,yes,0
8394907,< 0 DM,30,no credit - paid,business,8072,unknown/none,< 1 year,2,male-single,none,3,car or other,25,bank,own,3,skilled,1,none,yes,0
9516779,0 - 200 DM,24,current loans paid,car (used),12579,< 100 DM,>= 7 years,4,female-divorced/separated/married,none,2,unknown-none,44,none,for free,1,highly skilled,1,yes,yes,1
1750839,none,24,current loans paid,radio/television,3430,500 - 1000 DM,>= 7 years,3,male-single,none,2,car or other,31,none,own,1,skilled,2,yes,yes,0
9007770,none,9,critical account - other non-bank loans,car (new),2134,< 100 DM,1 - 4 years,4,male-single,none,4,car or other,48,none,own,3,skilled,1,yes,yes,0
5611578,< 0 DM,6,current loans paid,radio/television,2647,500 - 1000 DM,1 - 4 years,2,male-single,none,3,real estate,44,none,rent,1,skilled,2,none,yes,0
3677496,< 0 DM,10,critical account - other non-bank loans,car (new),2241,< 100 DM,< 1 year,1,male-single,none,3,real estate,48,none,rent,2,unskilled-resident,2,none,no,0
3265162,0 - 200 DM,12,critical account - other non-bank loans,car (used),1804,100 - 500 DM,< 1 year,3,male-single,none,4,building society savings/life insurance,44,none,own,1,skilled,1,none,yes,0
7795200,none,10,critical account - other non-bank loans,furniture/equipment,2069,unknown/none,1 - 4 years,2,male-married/widowed,none,1,car or other,26,none,own,2,skilled,1,none,no,0
4362293,< 0 DM,6,current loans paid,furniture/equipment,1374,< 100 DM,1 - 4 years,1,male-single,none,2,real estate,36,bank,own,1,unskilled-resident,1,yes,yes,0
4506902,none,6,no credit - paid,radio/television,426,< 100 DM,>= 7 years,4,male-married/widowed,none,4,car or other,39,none,own,1,unskilled-resident,1,none,yes,0
8881521,> 200 DM or salary assignment,12,all loans at bank paid,radio/television,409,>= 1000 DM,1 - 4 years,3,female-divorced/separated/married,none,3,real estate,42,none,rent,2,skilled,1,none,yes,0
1398341,0 - 200 DM,7,current loans paid,radio/television,2415,< 100 DM,1 - 4 years,3,male-single,guarantor,2,real estate,34,none,own,1,skilled,1,none,yes,0
7333893,< 0 DM,60,past payment delays,business,6836,< 100 DM,>= 7 years,3,male-single,none,4,unknown-none,63,none,own,2,skilled,1,yes,yes,1
7890417,0 - 200 DM,18,current loans paid,business,1913,>= 1000 DM,< 1 year,3,male-married/widowed,none,3,real estate,36,bank,own,1,skilled,1,yes,yes,0
2017286,< 0 DM,24,current loans paid,furniture/equipment,4020,< 100 DM,1 - 4 years,2,male-single,none,2,car or other,27,stores,own,1,skilled,1,none,yes,0
7081292,0 - 200 DM,18,current loans paid,car (new),5866,100 - 500 DM,1 - 4 years,2,male-single,none,2,car or other,30,none,own,2,skilled,1,yes,yes,0
8807838,none,12,critical account - other non-bank loans,business,1264,unknown/none,>= 7 years,4,male-single,none,4,unknown-none,57,none,rent,1,unskilled-resident,1,none,yes,0
1221741,> 200 DM or salary assignment,12,current loans paid,furniture/equipment,1474,< 100 DM,< 1 year,4,female-divorced/separated/married,none,1,building society savings/life insurance,33,bank,own,1,highly skilled,1,yes,yes,0
3977061,0 - 200 DM,45,critical account - other non-bank loans,radio/television,4746,< 100 DM,< 1 year,4,male-single,none,2,building society savings/life insurance,25,none,own,2,unskilled-resident,1,none,yes,1
6028350,none,48,critical account - other non-bank loans,education,6110,< 100 DM,1 - 4 years,1,male-single,none,3,unknown-none,31,bank,for free,1,skilled,1,yes,yes,0
2903516,> 200 DM or salary assignment,18,current loans paid,radio/television,2100,< 100 DM,1 - 4 years,4,male-single,co-applicant,2,real estate,37,stores,own,1,skilled,1,none,yes,1
8335289,> 200 DM or salary assignment,10,current loans paid,domestic appliances,1225,< 100 DM,1 - 4 years,2,male-single,none,2,car or other,37,none,own,1,skilled,1,yes,yes,0
8596814,0 - 200 DM,9,current loans paid,radio/television,458,< 100 DM,1 - 4 years,4,male-single,none,3,real estate,24,none,own,1,skilled,1,none,yes,0
1473485,none,30,current loans paid,radio/television,2333,500 - 1000 DM,>= 7 years,4,male-single,none,2,car or other,30,bank,own,1,highly skilled,1,none,yes,0
5043986,0 - 200 DM,12,current loans paid,radio/television,1158,500 - 1000 DM,1 - 4 years,3,male-divorced/separated,none,1,car or other,26,none,own,1,skilled,1,yes,yes,0
7015188,0 - 200 DM,18,past payment delays,repairs,6204,< 100 DM,1 - 4 years,2,male-single,none,4,real estate,44,none,own,1,unskilled-resident,2,yes,yes,0
5609809,< 0 DM,30,critical account - other non-bank loans,car (used),6187,100 - 500 DM,4 - 7 years,1,male-married/widowed,none,4,car or other,24,none,rent,2,skilled,1,none,yes,0
6574474,< 0 DM,48,critical account - other non-bank loans,car (used),6143,< 100 DM,>= 7 years,4,female-divorced/separated/married,none,4,unknown-none,58,stores,for free,2,unskilled-resident,1,none,yes,1
6668437,none,11,critical account - other non-bank loans,car (new),1393,< 100 DM,< 1 year,4,female-divorced/separated/married,none,4,car or other,35,none,own,2,highly skilled,1,none,yes,0
7468489,none,36,current loans paid,radio/television,2299,500 - 1000 DM,>= 7 years,4,male-single,none,4,car or other,39,none,own,1,skilled,1,none,yes,0
6045059,< 0 DM,6,current loans paid,car (used),1352,500 - 1000 DM,unemployed,1,female-divorced/separated/married,none,2,building society savings/life insurance,23,none,rent,1,unemployed-unskilled-non-resident,1,yes,yes,0
3678840,none,11,critical account - other non-bank loans,car (new),7228,< 100 DM,1 - 4 years,1,male-single,none,4,building society savings/life insurance,39,none,own,2,unskilled-resident,1,none,yes,0
9514325,none,12,current loans paid,radio/television,2073,100 - 500 DM,1 - 4 years,4,female-divorced/separated/married,co-applicant,2,real estate,28,none,own,1,skilled,1,none,yes,0
7764002,0 - 200 DM,24,past payment delays,furniture/equipment,2333,unknown/none,< 1 year,4,male-single,none,2,building society savings/life insurance,29,bank,own,1,unskilled-resident,1,none,yes,0
4029031,0 - 200 DM,27,past payment delays,car (used),5965,< 100 DM,>= 7 years,1,male-single,none,2,car or other,30,none,own,2,highly skilled,1,yes,yes,0
1318782,none,12,current loans paid,radio/television,1262,< 100 DM,1 - 4 years,3,male-single,none,2,car or other,25,none,own,1,skilled,1,none,yes,0
1442097,none,18,current loans paid,car (used),3378,unknown/none,1 - 4 years,2,male-single,none,1,building society savings/life insurance,31,none,own,1,skilled,1,yes,yes,0
7784864,0 - 200 DM,36,past payment delays,car (new),2225,< 100 DM,>= 7 years,4,male-single,none,4,unknown-none,57,bank,for free,2,skilled,1,yes,yes,1
4572543,none,6,all loans at bank paid,car (new),783,unknown/none,1 - 4 years,1,male-single,guarantor,2,real estate,26,stores,own,1,unskilled-resident,2,none,yes,0
4365555,0 - 200 DM,12,current loans paid,radio/television,6468,unknown/none,unemployed,2,male-single,none,1,unknown-none,52,none,own,1,highly skilled,1,yes,yes,1
6134562,none,36,critical account - other non-bank loans,radio/television,9566,< 100 DM,1 - 4 years,2,female-divorced/separated/married,none,2,car or other,31,stores,own,2,skilled,1,none,yes,0
3409265,> 200 DM or salary assignment,18,current loans paid,car (new),1961,< 100 DM,>= 7 years,3,female-divorced/separated/married,none,2,car or other,23,none,own,1,highly skilled,1,none,yes,0
1504574,< 0 DM,36,critical account - other non-bank loans,furniture/equipment,6229,< 100 DM,< 1 year,4,female-divorced/separated/married,co-applicant,4,unknown-none,23,none,rent,2,unskilled-resident,1,yes,yes,1
3256655,0 - 200 DM,9,current loans paid,business,1391,< 100 DM,1 - 4 years,2,male-married/widowed,none,1,real estate,27,bank,own,1,skilled,1,yes,yes,0
8806796,0 - 200 DM,15,critical account - other non-bank loans,radio/television,1537,unknown/none,>= 7 years,4,male-single,guarantor,4,real estate,50,none,own,2,skilled,1,yes,yes,0
1364372,0 - 200 DM,36,no credit - paid,business,1953,< 100 DM,>= 7 years,4,male-single,none,4,unknown-none,61,none,for free,1,highly skilled,1,yes,yes,1
8688712,0 - 200 DM,48,no credit - paid,business,14421,< 100 DM,1 - 4 years,2,male-single,none,2,car or other,25,none,own,1,skilled,1,yes,yes,1
3747039,none,24,current loans paid,radio/television,3181,< 100 DM,< 1 year,4,female-divorced/separated/married,none,4,building society savings/life insurance,26,none,own,1,skilled,1,yes,yes,0
3453642,none,27,current loans paid,repairs,5190,unknown/none,>= 7 years,4,male-single,none,4,building society savings/life insurance,48,none,own,4,skilled,2,yes,yes,0
5520489,none,12,current loans paid,radio/television,2171,< 100 DM,< 1 year,2,female-divorced/separated/married,none,2,car or other,29,bank,own,1,skilled,1,none,yes,0
1647906,0 - 200 DM,12,current loans paid,car (new),1007,>= 1000 DM,1 - 4 years,4,male-married/widowed,none,1,real estate,22,none,own,1,skilled,1,none,yes,0
2987381,none,36,current loans paid,education,1819,< 100 DM,1 - 4 years,4,male-single,none,4,unknown-none,37,stores,for free,1,skilled,1,yes,yes,1
3683782,none,36,current loans paid,radio/television,2394,unknown/none,1 - 4 years,4,female-divorced/separated/married,none,4,car or other,25,none,own,1,skilled,1,none,yes,0
6065675,none,36,current loans paid,car (used),8133,< 100 DM,1 - 4 years,1,female-divorced/separated/married,none,2,building society savings/life insurance,30,bank,own,1,skilled,1,none,yes,0
1510672,none,7,critical account - other non-bank loans,radio/television,730,unknown/none,>= 7 years,4,male-single,none,2,building society savings/life insurance,46,none,rent,2,unskilled-resident,1,yes,yes,0
6390550,< 0 DM,8,critical account - other non-bank loans,other,1164,< 100 DM,>= 7 years,3,male-single,none,4,unknown-none,51,bank,for free,2,highly skilled,2,yes,yes,0
6771352,0 - 200 DM,42,critical account - other non-bank loans,business,5954,< 100 DM,4 - 7 years,2,female-divorced/separated/married,none,1,real estate,41,bank,own,2,unskilled-resident,1,none,yes,0
4802045,< 0 DM,36,current loans paid,education,1977,unknown/none,>= 7 years,4,male-single,none,4,unknown-none,40,none,own,1,highly skilled,1,yes,yes,1
8911390,< 0 DM,12,critical account - other non-bank loans,car (used),1526,< 100 DM,>= 7 years,4,male-single,none,4,unknown-none,66,none,for free,2,highly skilled,1,none,yes,0
1139059,< 0 DM,42,current loans paid,radio/television,3965,< 100 DM,< 1 year,4,male-single,none,3,car or other,34,none,own,1,skilled,1,none,yes,1
7399701,0 - 200 DM,11,past payment delays,radio/television,4771,< 100 DM,4 - 7 years,2,male-single,none,4,building society savings/life insurance,51,none,own,1,skilled,1,none,yes,0
5604915,none,54,no credit - paid,car (used),9436,unknown/none,1 - 4 years,2,male-single,none,2,building society savings/life insurance,39,none,own,1,unskilled-resident,2,none,yes,0
7683335,0 - 200 DM,30,current loans paid,furniture/equipment,3832,< 100 DM,< 1 year,2,male-married/widowed,none,1,building society savings/life insurance,22,none,own,1,skilled,1,none,yes,0
5503995,none,24,current loans paid,radio/television,5943,unknown/none,< 1 year,1,female-divorced/separated/married,none,1,car or other,44,none,own,2,skilled,1,yes,yes,1
8801062,none,15,current loans paid,radio/television,1213,500 - 1000 DM,>= 7 years,4,male-single,none,3,building society savings/life insurance,47,stores,own,1,skilled,1,yes,yes,0
1817735,none,18,current loans paid,business,1568,100 - 500 DM,1 - 4 years,3,female-divorced/separated/married,none,4,building society savings/life insurance,24,none,rent,1,unskilled-resident,1,none,yes,0
1806409,< 0 DM,24,current loans paid,other,1755,< 100 DM,>= 7 years,4,female-divorced/separated/married,guarantor,4,real estate,58,none,own,1,unskilled-resident,1,yes,yes,0
3028735,< 0 DM,10,current loans paid,radio/television,2315,< 100 DM,>= 7 years,3,male-single,none,4,real estate,52,none,own,1,unskilled-resident,1,none,yes,0
3707969,none,12,critical account - other non-bank loans,business,1412,< 100 DM,1 - 4 years,4,female-divorced/separated/married,guarantor,2,real estate,29,none,own,2,highly skilled,1,yes,yes,0
7327747,0 - 200 DM,18,critical account - other non-bank loans,furniture/equipment,1295,< 100 DM,< 1 year,4,female-divorced/separated/married,none,1,building society savings/life insurance,27,none,own,2,skilled,1,none,yes,0
5790827,0 - 200 DM,36,current loans paid,education,12612,100 - 500 DM,1 - 4 years,1,male-single,none,4,unknown-none,47,none,for free,1,skilled,2,yes,yes,1
1812102,< 0 DM,18,current loans paid,car (new),2249,100 - 500 DM,4 - 7 years,4,male-single,none,3,car or other,30,none,own,1,highly skilled,2,yes,yes,0
4049219,< 0 DM,12,no credit - paid,repairs,1108,< 100 DM,4 - 7 years,4,male-single,none,3,real estate,28,none,own,2,skilled,1,none,yes,1
6177564,none,12,critical account - other non-bank loans,radio/television,618,< 100 DM,>= 7 years,4,male-single,none,4,real estate,56,none,own,1,skilled,1,none,yes,0
9127163,< 0 DM,12,critical account - other non-bank loans,car (used),1409,< 100 DM,>= 7 years,4,male-single,none,3,real estate,54,none,own,1,skilled,1,none,yes,0
2628060,none,12,critical account - other non-bank loans,radio/television,797,unknown/none,>= 7 years,4,female-divorced/separated/married,none,3,building society savings/life insurance,33,bank,own,1,unskilled-resident,2,none,yes,1
2031456,> 200 DM or salary assignment,24,critical account - other non-bank loans,furniture/equipment,3617,unknown/none,>= 7 years,4,male-single,co-applicant,4,unknown-none,20,none,rent,2,skilled,1,none,yes,0
3725303,0 - 200 DM,12,current loans paid,car (new),1318,>= 1000 DM,>= 7 years,4,male-single,none,4,real estate,54,none,own,1,skilled,1,yes,yes,0
8326409,0 - 200 DM,54,no credit - paid,business,15945,< 100 DM,< 1 year,3,male-single,none,4,unknown-none,58,none,rent,1,skilled,1,yes,yes,1
1957928,none,12,critical account - other non-bank loans,education,2012,unknown/none,4 - 7 years,4,female-divorced/separated/married,none,2,car or other,61,none,own,1,skilled,1,none,yes,0
6428170,0 - 200 DM,18,current loans paid,business,2622,100 - 500 DM,1 - 4 years,4,male-single,none,4,car or other,34,none,own,1,skilled,1,none,yes,0
4371483,0 - 200 DM,36,critical account - other non-bank loans,radio/television,2337,< 100 DM,>= 7 years,4,male-single,none,4,real estate,36,none,own,1,skilled,1,none,yes,0
7476603,0 - 200 DM,20,past payment delays,car (used),7057,unknown/none,4 - 7 years,3,male-single,none,4,building society savings/life insurance,36,bank,rent,2,highly skilled,2,yes,yes,0
2083425,none,24,current loans paid,car (new),1469,100 - 500 DM,>= 7 years,4,male-married/widowed,none,4,real estate,41,none,rent,1,unskilled-resident,1,none,yes,0
7663021,0 - 200 DM,36,current loans paid,radio/television,2323,< 100 DM,4 - 7 years,4,male-single,none,4,car or other,24,none,rent,1,skilled,1,none,yes,0
8330126,none,6,past payment delays,radio/television,932,< 100 DM,1 - 4 years,3,female-divorced/separated/married,none,2,real estate,24,none,own,1,skilled,1,none,yes,0
4762252,0 - 200 DM,9,critical account - other non-bank loans,furniture/equipment,1919,< 100 DM,4 - 7 years,4,male-single,none,3,car or other,35,none,rent,1,skilled,1,yes,yes,0
8744199,none,12,current loans paid,car (used),2445,unknown/none,< 1 year,2,male-married/widowed,none,4,car or other,26,none,rent,1,skilled,1,yes,yes,0
7423252,0 - 200 DM,24,critical account - other non-bank loans,other,11938,< 100 DM,1 - 4 years,2,male-single,co-applicant,3,car or other,39,none,own,2,highly skilled,2,yes,yes,1
7539327,none,18,all loans at bank paid,car (new),6458,< 100 DM,>= 7 years,2,male-single,none,4,unknown-none,39,bank,own,2,highly skilled,2,yes,yes,1
9510423,0 - 200 DM,12,current loans paid,car (new),6078,< 100 DM,4 - 7 years,2,male-single,none,2,car or other,32,none,own,1,skilled,1,none,yes,0
7532368,< 0 DM,24,current loans paid,furniture/equipment,7721,unknown/none,< 1 year,1,female-divorced/separated/married,none,2,building society savings/life insurance,30,none,own,1,skilled,1,yes,no,0
1929784,0 - 200 DM,14,current loans paid,business,1410,500 - 1000 DM,>= 7 years,1,male-married/widowed,none,2,real estate,35,none,own,1,skilled,1,yes,yes,0
9517102,> 200 DM or salary assignment,6,critical account - other non-bank loans,car (new),1299,< 100 DM,1 - 4 years,1,male-single,none,1,real estate,74,none,own,3,unemployed-unskilled-non-resident,2,none,no,0
2801710,0 - 200 DM,9,current loans paid,furniture/equipment,918,< 100 DM,1 - 4 years,4,female-divorced/separated/married,none,1,building society savings/life insurance,30,none,own,1,skilled,1,none,yes,1
3066581,0 - 200 DM,6,past payment delays,business,1449,100 - 500 DM,>= 7 years,1,male-divorced/separated,none,2,car or other,31,bank,own,2,skilled,2,none,yes,0
2924368,> 200 DM or salary assignment,15,current loans paid,education,392,< 100 DM,< 1 year,4,female-divorced/separated/married,none,4,building society savings/life insurance,23,none,rent,1,skilled,1,yes,yes,0
5814710,0 - 200 DM,18,current loans paid,car (new),6260,< 100 DM,4 - 7 years,3,male-single,none,3,real estate,28,none,rent,1,unskilled-resident,1,none,yes,0
5186756,none,36,critical account - other non-bank loans,car (new),7855,< 100 DM,1 - 4 years,4,female-divorced/separated/married,none,2,real estate,25,stores,own,2,skilled,1,yes,yes,1
3473006,< 0 DM,12,current loans paid,radio/television,1680,500 - 1000 DM,>= 7 years,3,male-married/widowed,none,1,real estate,35,none,own,1,skilled,1,none,yes,0
7491936,none,48,critical account - other non-bank loans,radio/television,3578,unknown/none,>= 7 years,4,male-single,none,1,real estate,47,none,own,1,skilled,1,yes,yes,0
8010233,< 0 DM,42,current loans paid,radio/television,7174,unknown/none,4 - 7 years,4,female-divorced/separated/married,none,3,car or other,30,none,own,1,highly skilled,1,yes,yes,1
4298578,< 0 DM,10,critical account - other non-bank loans,furniture/equipment,2132,unknown/none,< 1 year,2,female-divorced/separated/married,co-applicant,3,real estate,27,none,rent,2,skilled,1,none,no,0
2515323,< 0 DM,33,critical account - other non-bank loans,furniture/equipment,4281,500 - 1000 DM,1 - 4 years,1,female-divorced/separated/married,none,4,car or other,23,none,own,2,skilled,1,none,yes,1
2317941,0 - 200 DM,12,critical account - other non-bank loans,car (new),2366,500 - 1000 DM,4 - 7 years,3,male-divorced/separated,none,3,car or other,36,none,own,1,highly skilled,1,yes,yes,0
3906586,< 0 DM,21,current loans paid,radio/television,1835,< 100 DM,1 - 4 years,3,female-divorced/separated/married,none,2,real estate,25,none,own,2,skilled,1,yes,yes,1
4863589,none,24,critical account - other non-bank loans,car (used),3868,< 100 DM,>= 7 years,4,female-divorced/separated/married,none,2,car or other,41,none,rent,2,highly skilled,1,yes,yes,0
4625102,none,12,current loans paid,furniture/equipment,1768,< 100 DM,1 - 4 years,3,male-single,none,2,real estate,24,none,rent,1,unskilled-resident,1,none,yes,0
8954004,> 200 DM or salary assignment,10,critical account - other non-bank loans,car (new),781,< 100 DM,>= 7 years,4,male-single,none,4,unknown-none,63,none,for free,2,skilled,1,yes,yes,0
1498295,0 - 200 DM,18,current loans paid,furniture/equipment,1924,unknown/none,< 1 year,4,female-divorced/separated/married,none,3,real estate,27,none,rent,1,skilled,1,none,yes,1
4851363,< 0 DM,12,critical account - other non-bank loans,car (new),2121,< 100 DM,1 - 4 years,4,male-single,none,2,building society savings/life insurance,30,none,own,2,skilled,1,none,yes,0
1018706,< 0 DM,12,current loans paid,radio/television,701,< 100 DM,1 - 4 years,4,male-married/widowed,none,2,real estate,40,none,own,1,unskilled-resident,1,none,yes,0
9208119,0 - 200 DM,12,current loans paid,repairs,639,< 100 DM,1 - 4 years,4,male-single,none,2,car or other,30,none,own,1,skilled,1,none,yes,1
4300293,0 - 200 DM,12,critical account - other non-bank loans,car (used),1860,< 100 DM,unemployed,4,male-single,none,2,car or other,34,none,own,2,highly skilled,1,yes,yes,0
7728014,< 0 DM,12,critical account - other non-bank loans,car (new),3499,< 100 DM,1 - 4 years,3,female-divorced/separated/married,co-applicant,2,real estate,29,none,own,2,skilled,1,none,yes,1
7990216,0 - 200 DM,48,current loans paid,car (new),8487,unknown/none,4 - 7 years,1,female-divorced/separated/married,none,2,car or other,24,none,own,1,skilled,1,none,yes,0
1318029,< 0 DM,36,past payment delays,education,6887,< 100 DM,1 - 4 years,4,male-single,none,3,building society savings/life insurance,29,stores,own,1,skilled,1,yes,yes,1
9949768,none,15,current loans paid,furniture/equipment,2708,< 100 DM,< 1 year,2,male-single,none,3,building society savings/life insurance,27,bank,own,2,unskilled-resident,1,none,yes,0
7906171,none,18,current loans paid,furniture/equipment,1984,< 100 DM,1 - 4 years,4,male-single,none,4,unknown-none,47,bank,for free,2,skilled,1,none,yes,0
4495501,none,60,current loans paid,radio/television,10144,100 - 500 DM,4 - 7 years,2,female-divorced/separated/married,none,4,real estate,21,none,own,1,skilled,1,yes,yes,0
4891536,none,12,critical account - other non-bank loans,radio/television,1240,unknown/none,>= 7 years,4,female-divorced/separated/married,none,2,real estate,38,none,own,2,skilled,1,yes,yes,0
6332313,none,27,past payment delays,car (used),8613,>= 1000 DM,1 - 4 years,2,male-single,none,2,car or other,27,none,own,2,skilled,1,none,yes,0
2114106,0 - 200 DM,12,current loans paid,radio/television,766,500 - 1000 DM,1 - 4 years,4,male-single,none,3,real estate,66,none,own,1,unskilled-resident,1,none,yes,1
8221756,0 - 200 DM,15,critical account - other non-bank loans,radio/television,2728,unknown/none,4 - 7 years,4,male-single,guarantor,2,real estate,35,bank,own,3,skilled,1,yes,yes,0
7308446,> 200 DM or salary assignment,12,current loans paid,radio/television,1881,< 100 DM,1 - 4 years,2,female-divorced/separated/married,none,2,car or other,44,none,rent,1,unskilled-resident,1,yes,yes,0
5759358,> 200 DM or salary assignment,6,current loans paid,car (new),709,>= 1000 DM,< 1 year,2,male-married/widowed,none,2,real estate,27,none,own,1,unemployed-unskilled-non-resident,1,none,no,0
1432196,0 - 200 DM,36,current loans paid,radio/television,4795,< 100 DM,< 1 year,4,female-divorced/separated/married,none,1,unknown-none,30,none,own,1,highly skilled,1,yes,yes,0
2429343,< 0 DM,27,current loans paid,radio/television,3416,< 100 DM,1 - 4 years,3,male-single,none,2,car or other,27,none,own,1,highly skilled,1,none,yes,0
1581866,< 0 DM,18,current loans paid,furniture/equipment,2462,< 100 DM,1 - 4 years,2,male-single,none,2,car or other,22,none,own,1,skilled,1,none,yes,1
6989622,none,21,critical account - other non-bank loans,furniture/equipment,2288,< 100 DM,< 1 year,4,female-divorced/separated/married,none,4,building society savings/life insurance,23,none,own,1,skilled,1,yes,yes,0
2025676,0 - 200 DM,48,all loans at bank paid,business,3566,100 - 500 DM,4 - 7 years,4,male-single,none,2,car or other,30,none,own,1,skilled,1,none,yes,0
3000727,< 0 DM,6,critical account - other non-bank loans,car (new),860,< 100 DM,>= 7 years,1,female-divorced/separated/married,none,4,unknown-none,39,none,own,2,skilled,1,yes,yes,0
3953814,none,12,critical account - other non-bank loans,car (new),682,100 - 500 DM,4 - 7 years,4,female-divorced/separated/married,none,3,car or other,51,none,own,2,skilled,1,yes,yes,0
7408825,< 0 DM,36,critical account - other non-bank loans,furniture/equipment,5371,< 100 DM,1 - 4 years,3,male-single,guarantor,2,building society savings/life insurance,28,none,own,2,skilled,1,none,yes,0
6226321,none,18,critical account - other non-bank loans,radio/television,1582,>= 1000 DM,>= 7 years,4,male-single,none,4,car or other,46,none,own,2,skilled,1,none,yes,0
6083792,none,6,current loans paid,radio/television,1346,100 - 500 DM,>= 7 years,2,male-single,none,4,unknown-none,42,bank,for free,1,skilled,2,yes,yes,0
5122662,none,10,current loans paid,radio/television,1924,< 100 DM,1 - 4 years,1,male-single,none,4,building society savings/life insurance,38,none,own,1,skilled,1,yes,no,0
9746441,> 200 DM or salary assignment,36,current loans paid,radio/television,5848,< 100 DM,1 - 4 years,4,male-single,none,1,car or other,24,none,own,1,skilled,1,none,yes,0
7353198,0 - 200 DM,24,critical account - other non-bank loans,car (used),7758,>= 1000 DM,>= 7 years,2,female-divorced/separated/married,none,4,unknown-none,29,none,rent,1,skilled,1,none,yes,0
7766762,0 - 200 DM,24,past payment delays,business,6967,100 - 500 DM,4 - 7 years,4,male-single,none,4,car or other,36,none,rent,1,highly skilled,1,yes,yes,0
5175459,< 0 DM,12,current loans paid,furniture/equipment,1282,< 100 DM,1 - 4 years,2,female-divorced/separated/married,none,4,car or other,20,none,rent,1,skilled,1,none,yes,1
5520884,< 0 DM,9,critical account - other non-bank loans,repairs,1288,100 - 500 DM,>= 7 years,3,male-single,guarantor,4,real estate,48,none,own,2,skilled,2,none,no,0
1137438,< 0 DM,12,all loans at bank paid,retraining,339,< 100 DM,>= 7 years,4,male-married/widowed,none,1,car or other,45,bank,own,1,unskilled-resident,1,none,yes,0
3892302,0 - 200 DM,24,current loans paid,car (new),3512,100 - 500 DM,4 - 7 years,2,male-single,none,3,car or other,38,bank,own,2,skilled,1,yes,yes,0
9957275,none,6,critical account - other non-bank loans,radio/television,1898,unknown/none,1 - 4 years,1,male-single,none,2,real estate,34,none,own,2,unskilled-resident,2,none,yes,0
